link,jobPostNumber,score,date,designation,country,city,jobPostText
https://whova.com//event-job/recomb-2026-job-opportunities/,3,9,2026-06-14,Genome data engineer,Unknown,Cambridge,"
Genome data engineer


University of Cambridge

 Establish and support an automated data “engine” to discover and classify repeat/transposable element families within and between reference genomes and annotate all instances, maintaining them in a phylogenetic structure. Will use innovative tools from the Durbin group and collaborators (FastGA, FasTAN, FastLTR etc.) and support evolutionary research.Responsible for data content, completeness, integrity, not just software framework.Expect proficiency in AI orchestration, databases, genomic sequence analysis.Work at state of the art, make conference presentations, lead on papers.
                                
                                
Link:
                                None
                                
                        



"
https://whova.com//event-job/recomb-2026-job-opportunities/,4,9,2026-06-14,Postdoc,Sweden,Stockholm,"
Postdoc in cancer biology


KTH

 I am looking for a highly motivated postdoctoral researcher to join my lab at KTH Royal Institute of Technology to design and apply machine learning and deep learning methods for understanding and investigating the functional behavior of gender-specific cancers.The work will include:- Development of ML/DL methods for multi-omics data analysis- Design and implementation of computational tools and software for cancer risk predictionThis position offers the opportunity to engage in cutting-edge interdisciplinary research at the intersection of machine learning and cancer research.I am looking for a highly motivated postdoctoral researcher to join my lab at KTH Royal Institute of Technology to design and apply machine learning and deep learning methods for understanding and investigating the functional behavior of gender-specific cancers.Please feel free to contact me if you are interested in this position, and we can talk more about it.
                                
                                
Link:
                                None
                                
                        



"
https://whova.com//event-job/recomb-2026-job-opportunities/,7,9,2026-06-14,Postdoctoral Researcher,China,Guangzhou,"
Postdoctoral Researcher


School of Future Technology, South China University of Technology

 1.Generally under 35 years of age (inclusive).2.Doctoral degree from a well-known domestic or foreign institution, generallyobtained within the past 3 years; or must have recently passed the doctoraldissertation defnse.3.Full-time research engagement at the university.4. Satisfactory salaries and start-up fundings (up to 600,000 annal )
                                
                                
Link:
                                https://www2.scut.edu.cn/ft_en/
                                
                        



"
https://whova.com//event-job/recomb-2026-job-opportunities/,8,9,2026-06-14,Assistant Professor,China,Guangzhou,"
Faculty members


School of Future Technology, South China University of Technolog

 （1）Tenure Track | Assistant Professor or Associate Professor1.Have a doctoral degree2.Applicants should have equivalent qualifications and research records to serve as atenure-track assistant professor or associate professor at world-class universities orresearch institutes3.Applicants are expected to work full time with a tenure track period of 6 years.（2）Tenured | Associate Professor or Full Professor1.Applicants have served as a tenured associate professor or in an equivalentposition at a world-class university or research institute, or have an academicrecord of the same standard.2.All applicants are expected to work full time on campus after accepting the offer.1.Provide competitive salaries and research start-up funds with reference to corresponding positions in international universities.2.Provide on-campus rental apartment (subject to application and approval), and applicant's children will have access to high-quality education resources at affiliated primary, middle, and kindergarten schools of the University.3.Those who have been employed in faculty positions simultaneously qualify as graduate supervisors and will be offered postgraduate enrollment quotas.4.Subject to preferential personal income tax exemption benefits in the Guangdong-Hong Kong-Macao GreaterBay Area (GBA). For qualified talents, the government will provide financial subsidies for the portion of personal income tax paid in Guangzhou exceeding 15% of taxable income, and this subsidy is exempt from personal income tax.
                                
                                
Link:
                                https://www2.scut.edu.cn/ft_en/
                                
                        



"
https://whova.com//event-job/recomb-2026-job-opportunities/,12,9,2026-06-14,Postdoc,United States,Houston,"
Postdoc, Cancer Genomics and Evolution Lab (Prof. Peter Van Loo)


The University of Texas MD Anderson Cancer Center

 We seek talented and motivated postdocs in computational biology to join our lab. The post holders will spearhead projects in large-scale cancer genomics and evolution.Our research focuses on large-scale pan-cancer genomics to gain insight into the genes, mutational processes and evolution of cancer. Our work is highly data-driven, with a focus on large-scale data analysis to gain broad biological insight and on the development of computational methods to enable conceptually novel analyses. The research group is mostly computational with a small wet-lab component. Since its inception, members of the Cancer Genomics and Evolution laboratory have co-authored 22 papers in Nature, Cell or Science. Recent successes include studies of intra-tumor heterogeneity across cancers (Dentro et al., Cell 2021), the evolutionary history of cancer (Gerstung et al., Nature 2020), biallelic mutations in cancer genomes (Demeulemeester et al., Nature Genetics 2022), combined DNA methylation and genomic alterations in lung cancer evolution (Gimeno-Valiente et al., Nature Genetics 2025), benchmarking methods for subclonal reconstruction (Salcedo et al., Nature Biotechnology 2025), and the history of chromosomal instability in genome doubled tumors (Baker et al., Cancer Discovery 2024).The ideal candidate will have a PhD in computational biology (bioinformatics, genomics, …) and research experience in the field of cancer genomics, although we welcome applications from candidates with diverse educational backgrounds, including computational biology, physics and (bio)statistics, biology or medicine. Applicants must have a proven publication record. Prior experience with handling massively parallel sequencing data is considered an advantage.How to apply?Please email pvanloo@mdanderson.org (1) a cover letter stating your general career objectives and research interests, (2) a CV with publication list, and (3) a list of three references.
                                
                                
Link:
                                https://www.mdanderson.org/research/departments-labs-institutes/labs/van-loo-laboratory.html
                                
                        



"
https://whova.com//event-job/2026-established-program-to-stimulate-competitive-research-epscor-annual-summit-job-opportunities/,11,9,2026-06-14,Project Analyst (SETA 2),Unknown,Unknown,"
Project Analyst (SETA 2)


ICF

 DescriptionThe work: ICF is seeking a Manager, Research and Development (SETA 2) to support science and engineering innovation programs at the National Science Foundation (NSF). Your work will contribute to enabling the U.S. to uphold its leadership in innovation in science and engineering. This is an opportunity to contribute to an important project from its beginning, work with the latest and emerging technologies, and all while building a great career at ICF!
                                
                                
Link:
                                https://careers.icf.com/us/en/job/R2600588/Project-Analyst-SETA-2
                                
                        



"
https://whova.com//event-job/interpore2026-job-opportunities/,0,9,2026-06-14,PhD Student,Norway,Stavanger,"
PhD position in computational methods for flow and transport in porous media


NORCE Research and University of Stavanger

 The project will focus on reactive flow in porous rocks, with applications to CO₂ storage, carbonated-water injection and long-term use of subsurface reservoirs. A key challenge is that simulations become computationally demanding when multiphase flow, phase behavior, geochemical reactions and changes in rock properties are coupled.The PhD project will contribute to the further development of IORSim, a reservoir simulation tool developed by NORCE in collaboration with IFE and the University of Stavanger. Collaboration with industry experts is also expected as part of this project. The work includes numerical model development, simulator implementation, testing against laboratory or field data, and coupling with open-source reservoir simulation tools such as OPM – Open Porous Media. An important part of the project will be to explore how machine learning, reduced-order models or surrogate models can accelerate reactive transport simulations while preserving the most important physical and chemical constraints.Possible research questions include:-How can reactive transport simulations be made faster using machine learning, reduced order models or surrogate models without losing essential physics and chemistry?-How can geochemical reactions be efficiently coupled with multiphase reservoir simulation?-How do fluid-rock reactions affect porosity, permeability, injectivity and long-term flow paths?-Can data-driven methods support parameter selection, model calibration, optimization or uncertainty analysis?Please see the link for the full job description. 
                                
                                
Link:
                                https://karriere.norceresearch.no/en/jobs/7692356-phd-position-in-computational-methods-for-flow-and-transport-in-porous-media
                                
                        



"
https://whova.com//event-job/interpore2026-job-opportunities/,1,9,2026-06-14,post doc,United Kingdom,Manchester,"
post doc in x-ray imaging of low carbon concrete porosity


University of Manchester

 Partnering with the Universities of Bath, Malaga and the European Synchrotron Radiation Facility (ESRF), we been selected by the EIC under the Pathfinder “Cement as Carbon Sinks"" Challenge call to receive €4 million in funding. The Challenge seeks to support pathways for decarbonized and carbon-negative cement.Our 'X-SeeO2' project is a key 'enabling technology' providing micro-computed tomography (microCT) analysis methods that reveal the 3D structure and evolution of microstructure of concrete non-destructively at Manchester.  This capability will then be made available to other innovation research teams to improve the products and technologies they develop.The job holder will help to develop protocols for imaging, characterizing and quantifying the various cement phases as well as the porosity (volume fraction, pore size, connectivity etc) using lab and synchrotron X-ray CT as well as developing new characterization modalities. The successful applicant will be based in Manchester but also make trips to the ESRF in Grenoble as well as to our collaborators in Malaga and Bath. Others within the group will develop in situ rigs for studying the kinetics of the hydration and carbonation reactions (ex-situ and in-situ) by laboratory and synchrotron powder diffraction (for crystalline component time-evolution) and laboratory and synchrotron computer tomography (for microstructure time-evolution, including carbonate-shrinkage).Overall Purpose of the JobThe successful candidate will carry out X-ray imaging/tomographic research on cementitious materials, with the focus being the carbonation processes. They will develop 3D image analysis protocols to characterise cement microstructural development and apply them to undertake time resolved and ex-situ studies of cementitious materials within Manchester, which hosts one of the most extensive suites of CT scanners in Europe. They will also undertake and support some experiments at the ESRF.
                                
                                
Link:
                                http://x-seeo2.eu
                                
                        



"
https://whova.com//event-job/interpore2026-job-opportunities/,3,9,2026-06-14,Postdoc,Norway,Oslo,"
Postdoc


PoreLab, Dept. of Physics, NTNU

 I (Alex Hansen) two postdoc positions that I will announce soon in theory and computational two-phase flow in porous media.  The positions are funded by the ERC under the project AGIPORE.
                                
                                
Link:
                                porelab.no
                                
                        



"
https://whova.com//event-job/nih-career-symposium-2026-job-opportunities/,3,9,2026-06-14,Postdoctoral Fellow,United States,Unknown,"
Postdoctoral Fellow - Biologist for Disease Modeling with 3D Organoids


National Center for Advancing Translational Sciences (NCATS)

 The fellow will advance the i3D-RARE program, developing validated 3D cellular models (e.g., organoids, spheroids) from stem cells. These models serve as predictive assays, integrated with multiomics, to discover new drug targets and treatments for rare diseases. Join a dynamic, collaborative team dedicated to pioneering innovative disease modeling and accelerating preclinical drug discovery.The selected candidate will:Work on the development and optimization of in vitro models of rare diseases using patient stem cells derived 2D cells and 3D organoids.Identify disease phenotypes and biomarkers using these patient stem cell-derived models.Learn and participate in the drug development process and will apply new technologies, such as patient iPSC-based disease modeling and 3D organoids, for the evaluation of drug efficacy and toxicity.Develop in vitro biochemical and cell-based assays for HTS of compound libraries to identify lead compounds, which will be used as tools to further understand disease pathophysiology and to be developed as therapeutics.Collaborate with researchers from other universities and NIH institutes and centers, and will present experimental findings at scientific conferences.Upon completion of training, the fellow will have gained extensive experience and skills in translational research for drug discovery and development across a range of therapeutic modalities. email (in PDF format) a cover letter that includes a research summary and describes your interest in the position, a current curriculum vitae with a complete bibliography, and the names and contact information of two to three references, including your current supervisor, to Wei Zheng, Ph.D., at wzheng@mail.nih.gov. The review of applications will begin immediately and will continue until the position is filled.
                                
                                
Link:
                                https://www.training.nih.gov/jobs/pdf-072826/
                                
                        



"
https://whova.com//event-job/nih-career-symposium-2026-job-opportunities/,5,9,2026-06-14,Postdoctoral Fellow,Unknown,Unknown,"
Postdoctoral Fellow (Informatics)


National Center for Advancing Translational Sciences

 Selected candidates will develop computational models for antifibrotic drug discovery and toxicity evaluation. Applicants with a background in informatics, computational biology, or toxicology will receive preferential consideration.Selected candidates will work as part of our multidisciplinary team of innovative scientists and provide expertise in assay development, drug screening, data science, computational modeling and other cutting-edge '-omics' technologies. Prospective candidate will:Analyze large data sets generated from drug screening assays.Develop computational methods to identify and prioritize potential compounds for antifibrotic drug development and testing.Build models for drug toxicity prediction using chemical structural data, in vitro assay data, and '-omics' data.Establish an efficient process for data sharing and disseminationCandidates should be familiar with public small molecule and '-omics' databases and be capable of data mining using complex data sets. Successful candidates should also have experience building and applying machine learning models, as well as working at the interface of bioinformatics and chemo-informatics. This fellowship position will work closely with DPI informatics scientists and biologists to aid in data interpretation and project development.Candidates should be familiar with public small molecule and '-omics' databases and be capable of data mining using complex data sets. Successful candidates should also have experience building and applying machine learning models, as well as working at the interface of bioinformatics and chemo-informatics. This fellowship position will work closely with DPI informatics scientists and biologists to aid in data interpretation and project development.Please submit a cover letter summarizing your research and interest in this position, a current curriculum vitae with a complete bibliography, and the names and contact information of three references to Dr. Ruili Huang.
                                
                                
Link:
                                https://www.training.nih.gov/jobs/pd-062326/
                                
                        



"
https://whova.com//event-job/nih-career-symposium-2026-job-opportunities/,6,9,2026-06-14,Postdoctoral fellowship,USA,Bethesda,"
Gene Regulation and Cytokine Biology in Neurodegeneration and Neuroinflammation Postdoctoral fellowship


National Eye Institute, NIH

 Position Description:The laboratory of Dr. Han-Yu Shih at the National Institutes of Health (NIH) in Bethesda, MD is seeking a motivated and talented postdoctoral researcher to join our multidisciplinary team. Our lab focuses on understanding the mechanisms that precisely regulate gene expression in neuroinflammation and neurodegeneration, with a particular interest in cytokine-mediated CNS inflammation. We use cutting-edge genomic approaches to address three fundamental questions: 1.	How do cytokines drive the progression of neurodegenerative and neuroinflammatory diseases in the CNS?2.	How do innate lymphoid cells (ILCs) integrate neuronal signals to support immune adaptation in tissues?3.	How do the microbiome and microbial metabolites regulate lymphocyte differentiation and function during aging-related disorders?The successful candidate will use “omic” approaches to investigate immunoregulation and identify potential therapeutic targets. You will have the opportunity to lead and co-lead projects, design experiments for generating high-dimensional data (single cell transcriptomes and epigenomes, spatial transcriptomes, TCR/BCR repertoires), and work closely with collaborators and lab members. Additionally, you will receive hands-on training in bioinformatics and have opportunities to mentor postbacs or summer students. will be available based on interest. 
                                
                                
Link:
                                https://www.nei.nih.gov/research/research-labs-and-branches/neuro-immune-regulome-unit
                                
                        



"
https://whova.com//event-job/nih-career-symposium-2026-job-opportunities/,10,9,2026-06-14,Postdoc,Unknown,Unknown,"
Postdoc: Multimodal MRI of Blood–Brain Barrier Dysfunction in Acute Ischemic Stroke 


National Institute of Neurological Disorders and Stroke (NINDS), NIH

 ""The successful candidate will help lead MRI studies of acute ischemic stroke to advance our understanding of how blood brain barrier disruption affects tissue damage, hemorrhagic transformation risk, edema formation, and recovery after stroke. This fellow will work on projects that use multimodal MRI to characterize blood brain barrier permeability and relate these imaging findings to tissue outcome, clinical status, and therapeutic response in patients with acute stroke.More specifically, research areas may include:MRI-based assessment of blood-brain barrier integrity in acute stroke patientsImaging biomarkers of tissue-fate, injury-progression, and recoveryQuantifying relationships among perfusion, diffusion, edema, re-perfusion, and blood brain barrier disruptionDeveloping and applying quantitative MRI methods for cerebrovascular disease studyTranslating neuroimaging findings to stroke mechanisms and clinical outcomes""
                                
                        



"
https://whova.com//event-job/nih-career-symposium-2026-job-opportunities/,12,9,2026-06-14,Postdoctoral Fellow,United States,Unknown,"
Postdoctoral Fellowship - Structural Dynamics Response Assay Platform (Chemical Biology & Translational Science)  


NIH National Center for Advancing Translational Sciences

 The Preclinical Chemical Biology Laboratory under Dr. James Inglese, at the NIH National Center for Advancing Translational Sciences, is now seeking a postdoctoral fellow to expand and apply the Structural Dynamics Response assay platform to proteins of unknown or poorly characterized function implicated in human disease.The Structural Dynamics Response assay is a gain-of-signal, non-competitive method to detects ligand-binding through ligand-induced structural dynamics, thus enabling study of targets that lack traditional functional assays. Prospective fellows will develop SDR-based assays for novel targets, engineer protein constructs, and integrate biophysical approaches to characterize ligand binding and pharmacology. This position offers training at the interface of chemical biology and translational science, with access to state-of-the-art HTS and assay development technologies within the NIH intramural program.Key responsibilities of this position include:- Designing, expressing, and purifying recombinant proteins for SDR assay development- Engineering and evaluating SDR-compatible fusion constructs (NanoLuc/HiBiT systems)- Developing and optimizing SDR assays for proteins lacking established functional readouts- Performing and analyzing protein–ligand interaction studies using surface plasmon resonance and related biophysical methods- Interpreting pharmacological data (binding affinities, SAR trends) to support ligand discovery efforts.Interested candidates should email the following in PDF format to Dr. Inglese at the email below:- A cover letter, including a research summary and description of your interest in this position- A current curriculum vitae with a complete bibliography- The names and contact information of three professional references, including your current supervisor. Applications will be reviewed as they are received until this position is filled.
                                
                                
Link:
                                https://www.training.nih.gov/jobs/pd-123027/
                                
                        



"
https://whova.com//event-job/nih-career-symposium-2026-job-opportunities/,13,9,2026-06-14,Postdoc,United States,Bethesda,"
Postdoc: Molecular and Biomechanical mechanisms of Exo- and Endocytosis in Synaptic Transmission


National Institute of Neurological Disorders and Stroke, NIH

 The laboratory of Dr. Ling-Gang Wu in the National Institute of Neurological Disorders and Stroke, NIH, Bethesda, Maryland is seeking one motivated postdoctoral fellow. The Wu lab studies molecular and biomechanical mechanisms of Exo- and endocytosis of vesicles in the field of Neuroscience (synaptic transmission), endocrinology (hormone release in fight or flight response), or biology in general. The research focuses on the molecular mechanics underlying membrane dynamics, including vesicle docking, hemi-fusion, fusion pore opening, fusion pore closure, membrane curvature initiation, formation of Ω-shape pits, fission pore constriction, hemi-fission, and fission. Advanced techniques, including super-resolution STED at ~30 nm resolution and MINFLUX nanoscopy at ~3 nm resolution, confocal and electron microscopy, cell molecular biology, electrophysiological techniques, and computer simulation, are used to visualize the above-mentioned membrane dynamics as well as protein and lipid molecules acting together in real time at the nanoscale to drive these membrane curvature dynamics in live cells in physiological and pathological conditions.RequirementsApplicants should have a Ph.D. in biology, biophysics, molecular biology, neuroscience, or virology.  Desirable skills include: experience in either confocal imaging, super-resolution imaging, molecular biology, electrophysiology, electron microscopy and/or computer simulation; solid publication record; good verbal and written communication skills; and an ability to work effectively in a team-work environment with collaborators from different disciplines.  Salary will be commensurate with experience. Applications should include CV, representative publications, the names of three referees, cover letter detailing their qualification for this position, and research statement of what they would contribute to the laboratory.

Link:
                                https://www.ninds.nih.gov/about-ninds/who-we-are/staff-directory/ling-gang-wu
                                
                        



"
https://whova.com//event-job/nih-career-symposium-2026-job-opportunities/,16,9,2026-06-14,Postdoctoral Fellow,Unknown,Unknown,"
Postdoctoral Fellow - Functional Genomics Laboratory


NIH, National Center for Advancing Translational Sciences

 The Division of Preclinical Innovation is now seeking applications from qualified postdoctoral candidates to conduct functional genomic in the Functional Genomics Laboratory.Our laboratory frequently works with genome-wide and targeted RNAi/CRISPR screening, as well as small-molecule screening projects, efforts with cover a diverse set of topics including assay development, high-throughput screening, hit validation, data analysis, and mechanistic studies. The selected candidate will work closely with a staff scientist who has expertise in pooled and arrayed CRISPR and RNAi screens, as part of our multidisciplinary team, to progress projects in assay development, quantitative cell-based analysis, screening technologies, and genomic data analysis. As such, the selected candidate will develop and apply functional genomics approaches to interrogate genetic determinants of disease-relevant phenotypes across a variety of cell-based biological systems.Candidates with experience in screening, mammalian cell culture, functional genomics, and disease-relevant cellular assays are strongly encouraged to apply. Our laboratories are best known for their expertise in assay development, high-throughput screening, and the application of innovative technologies.Applying this expertise to collaborative, cell-based biological questions across multiple NIH Institutes and Centers creates a uniquely rich environment for translational discovery. The scope of this translationally focused resource is unparalleled outside of large pharmaceutical companies.Interested candidates should email a cover letter, that includes a research summary and description of your interest in this position, a current curriculum vitae, with a complete bibliography, and the names and contact information of two or three professional references, including your current supervisor, in PDF format, to Dr. Chih-Chien Cheng at the email below. Applications will be reviewed immediately until this position is filled.
                                
                                
Link:
                                https://www.training.nih.gov/jobs/pd-080826/
                                
                        



"
https://whova.com//event-job/nih-career-symposium-2026-job-opportunities/,18,9,2026-06-14,Postdoctoral Fellow,United States,Unknown,"
Translational Science Interagency Fellowship -Cheminformatics/AI-ML


National Institutes of Health | U.S. Food and Drug Administration

 The National Center for Advancing Translational Sciences (NCATS), a major research component of the National Institutes of Health (NIH), invites applications for a postdoctoral fellow position through the (*) Translational Science Interagency Fellowship (TSIF) program, a three-year long collaborative training program between NCATS and the U.S. Food and Drug Administration (FDA).This position offers a unique opportunity to work at the interface of computational modeling, drug discovery, and regulatory science, with direct exposure to how computational models can influence real-world drug development and safety evaluation. The fellow will be co-mentored by investigators at NCATS and FDA and will contribute to developing AI/ML-driven approaches for mechanism-based drug safety assessment and drug repurposing. Fellows are expected to spend three years in combined training at the FDA and NCATS. The exact timing of the transition between the two agencies will be project and mentor dependent.Responsibilities of this position include:- Curate, harmonize, and analyze a large-scale target class profiling datasets and construct compound-level activity signature vectors- Design, develop, and optimize multi-task machine learning models to predict target-specific and cross-target inhibition patterns- Integrate target class activity signatures within silico ADME and organ toxicity predictions into a unified compound prioritization frameworkPlease submit a cover letter that includes a research summary and describes your interest in the position, a current curriculum vitae with a complete bibliography, and contact information for at least three references to Min Shen, Ph.D., at shenmin@mail.nih.gov.(*) US citizens or permanent resident of the United States only. Applicants must have resided in the United States for three of the last five years and be able to pass a federal background check using Standard Form-85. Visit provided link for additional restrictions.
                                
                                
Link:
                                https://www.training.nih.gov/jobs/pd-081126/
                                
                        



"
https://whova.com//event-job/nih-career-symposium-2026-job-opportunities/,22,9,2026-06-14,Postdoctoral Fellow,USA,"Washington, D.C.","
Postdoctoral Fellow - Multiple Positions, National Cancer Institute, Center for Cancer Research


NIH | NCI | Center for Cancer Research

 The Center for Cancer Research is the largest division of the National Cancer Institute’s intramural research program with nearly 250 basic and clinical research groups located on two campuses just outside of Washington, D.C. We are committed to training the next generation of cancer researchers in basic, clinical, or translational cancer research. CCR offers a research environment that is second-to-none in quality of science and quality of life working side-by-side with world-renowned scientific investigators.Multiple laboratories are seeking postdoctoral fellows. View available training opportunities at: https://ccr.cancer.gov/careers/training. Please apply directly with the laboratory by providing the materials listed under ""How to Apply"" to the contact listed in the position posting.
                                
                                
Link:
                                https://ccr.cancer.gov/careers/training
                                
                        



"
